id,name,go_live_on,region,status
4553,Venice & Beethoven,2021-01-12,Westside,True
4554,Venice & Colonial,#N/A,Westside,True
4555,Venice & Inglewood,2020-12-19,Westside,True
4556,McLaughlin & Venice,2020-12-01,Westside,True
4557,Venice & Sawtelle,2020-12-18,Westside,True
4558,Bagley & Venice,2020-12-03,Westside,True
4559,Palms & Kelton,2020-10-21,Westside,True
4560,Sepulveda & Charnock,2020-11-26,Westside,True
4561,Sepulveda & Palms,2021-01-12,Westside,True
4562,Sepulveda & National,2021-01-14,Westside,True
4563,Venice & Glendon,#N/A,Westside,True
4564,Expo/Sepulveda E Line Station,2020-10-21,Westside,True
4565,Alla & Maxella,2021-03-18,Westside,True
4566,Venice & Hughes,#N/A,Westside,True
4567,Venice & Motor,2020-12-02,Westside,True
4568,Palms E Line Station,2020-11-25,Westside,True
4569,Palms & Motor,2020-10-21,Westside,True
4570,Sepulveda & Venice,2020-12-02,Westside,True
4571,Rose & Overland,2020-12-01,Westside,True
4572,National & Motor,2020-11-20,Westside,True
4573,Westwood & National,2020-11-21,Westside,True
4575,Lucerne & Sepulveda,2021-03-17,Westside,True
4577,Inglewood & Braddock,#N/A,Westside,True
4580,Centinela & Lucile,2020-12-09,Westside,True
4581,Playa Vista Library,2021-02-02,Westside,True
4582,Westlawn & Beatrice,#N/A,Westside,True
4583,McConnell & Runway,2020-11-17,Westside,True
4492,Westwood/Rancho Park E Line Station,2021-05-06,Westside,True
4576,Motor & Regent,2021-04-23,Westside,True
4579,Alla & Glencoe,2021-04-15,Westside,True
4587,Wiltern,2021-04-22,DTLA,True
